fecha,pais,ciudad,latitud,longitud,tipo_alojamiento,duracion_estancia,gasto_diario,valoracion,transporte,motivo_viaje
2023-04-13,Francia,Lyon,45.764,4.8357,Hostal,9,76.14,1,Tren,Vacaciones
2023-12-15,España,Málaga,36.7213,-4.4214,Apartamento,6,83.41,2,Tren,Vacaciones
2023-09-28,Francia,Burdeos,44.8378,-0.5792,Hostal,14,90.19,5,Coche,Vacaciones
2023-04-17,España,Sevilla,37.3891,-5.9845,Hotel,11,124.97,3,Coche,Vacaciones
2023-03-13,Francia,Lyon,45.764,4.8357,Hotel,13,97.39,5,Tren,Vacaciones
2023-07-08,Francia,Marsella,43.2965,5.3698,Hotel,10,90.81,3,Autobús,Vacaciones
2023-01-21,España,Barcelona,41.3851,2.1734,Hotel,3,100.15,3,Avión,Vacaciones
2023-04-13,Francia,Lyon,45.764,4.8357,Hotel,13,83.04,2,Avión,Vacaciones
2023-05-02,Alemania,Colonia,50.9375,6.9603,Hotel,12,146.68,2,Autobús,Vacaciones
2023-08-03,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,2,79.1,5,Tren,Vacaciones
2023-11-27,Italia,Roma,41.9028,12.4964,Apartamento,6,100.8,4,Tren,Vacaciones
2023-03-29,Francia,París,48.8566,2.3522,Casa rural,10,118.52,4,Avión,Negocios
2023-04-10,Francia,Marsella,43.2965,5.3698,Hostal,6,120.25,5,Avión,Visita familiar
2023-12-26,Italia,Roma,41.9028,12.4964,Hotel,14,88.33,3,Coche,Negocios
2023-06-01,Francia,Burdeos,44.8378,-0.5792,Hotel,12,132.89,2,Avión,Visita familiar
2023-05-11,Italia,Florencia,43.7696,11.2558,Hotel,12,164.29,5,Avión,Negocios
2023-05-30,España,Barcelona,41.3851,2.1734,Albergue,9,154.06,4,Avión,Vacaciones
2023-11-05,Alemania,Múnich,48.1351,11.582,Apartamento,5,25.6,3,Avión,Vacaciones
2023-09-15,Alemania,Colonia,50.9375,6.9603,Hotel,11,97.5,4,Coche,Vacaciones
2023-12-10,Reino Unido,Londres,51.5074,-0.1278,Hostal,12,80.14,3,Coche,Vacaciones
2023-10-21,Francia,Lyon,45.764,4.8357,Hotel,9,116.68,4,Coche,Vacaciones
2023-07-11,Reino Unido,Londres,51.5074,-0.1278,Casa rural,13,131.56,1,Autobús,Vacaciones
2023-10-04,España,Málaga,36.7213,-4.4214,Hotel,5,65.52,3,Avión,Vacaciones
2023-06-10,Alemania,Múnich,48.1351,11.582,Hotel,2,126.04,3,Coche,Estudios
2023-11-10,España,Sevilla,37.3891,-5.9845,Apartamento,1,99.21,3,Autobús,Vacaciones
2023-01-22,España,Valencia,39.4699,-0.3763,Casa rural,9,92.13,1,Autobús,Negocios
2023-09-10,Francia,París,48.8566,2.3522,Casa rural,10,115.86,1,Tren,Negocios
2023-08-24,España,Madrid,40.4168,-3.7038,Apartamento,7,95.64,4,Coche,Vacaciones
2023-12-11,Alemania,Berlín,52.52,13.405,Hotel,3,133.99,2,Avión,Negocios
2023-02-18,Reino Unido,Londres,51.5074,-0.1278,Apartamento,12,88.19,4,Avión,Negocios
2023-02-28,Alemania,Colonia,50.9375,6.9603,Albergue,6,140.0,3,Tren,Visita familiar
2023-06-19,Francia,Burdeos,44.8378,-0.5792,Apartamento,10,99.36,3,Autobús,Estudios
2023-07-07,Alemania,Colonia,50.9375,6.9603,Hostal,4,28.68,4,Coche,Visita familiar
2023-09-28,Italia,Nápoles,40.8518,14.2681,Apartamento,14,75.91,5,Tren,Vacaciones
2023-07-09,Reino Unido,Manchester,53.4808,-2.2426,Apartamento,9,96.86,2,Avión,Vacaciones
2023-06-24,Italia,Nápoles,40.8518,14.2681,Apartamento,2,111.09,1,Autobús,Vacaciones
2023-02-20,Italia,Milán,45.4642,9.19,Hostal,14,97.04,2,Autobús,Vacaciones
2023-12-30,Francia,Marsella,43.2965,5.3698,Casa rural,11,79.08,5,Coche,Vacaciones
2023-02-24,España,Málaga,36.7213,-4.4214,Apartamento,12,153.43,4,Coche,Vacaciones
2023-09-01,Italia,Venecia,45.4408,12.3155,Apartamento,12,142.12,4,Coche,Vacaciones
2023-11-16,Alemania,Colonia,50.9375,6.9603,Hotel,4,63.79,3,Tren,Vacaciones
2023-05-11,España,Sevilla,37.3891,-5.9845,Hotel,1,74.73,4,Avión,Visita familiar
2023-11-03,Alemania,Frankfurt,50.1109,8.6821,Casa rural,7,109.57,5,Coche,Vacaciones
2023-05-15,Alemania,Hamburgo,53.5511,9.9937,Hotel,14,95.43,4,Tren,Vacaciones
2023-01-21,España,Barcelona,41.3851,2.1734,Hostal,4,20.0,4,Tren,Vacaciones
2023-11-25,España,Madrid,40.4168,-3.7038,Hostal,5,78.43,5,Coche,Vacaciones
2023-06-16,Alemania,Hamburgo,53.5511,9.9937,Hostal,12,121.99,1,Tren,Vacaciones
2023-10-01,Francia,París,48.8566,2.3522,Casa rural,1,103.36,2,Avión,Estudios
2023-03-30,Reino Unido,Liverpool,53.4084,-2.9916,Apartamento,2,72.07,4,Coche,Vacaciones
2023-11-12,Reino Unido,Liverpool,53.4084,-2.9916,Casa rural,12,83.23,2,Tren,Vacaciones
2023-01-14,Francia,Lyon,45.764,4.8357,Hotel,4,93.3,2,Tren,Negocios
2023-08-30,España,Barcelona,41.3851,2.1734,Apartamento,2,176.82,3,Coche,Vacaciones
2023-09-22,Alemania,Hamburgo,53.5511,9.9937,Hostal,14,101.09,1,Tren,Vacaciones
2023-12-12,Reino Unido,Birmingham,52.4862,-1.8904,Hotel,14,78.31,2,Avión,Vacaciones
2023-02-22,Alemania,Frankfurt,50.1109,8.6821,Hostal,13,154.09,3,Tren,Vacaciones
2023-12-06,Francia,París,48.8566,2.3522,Hostal,1,117.39,5,Autobús,Visita familiar
2023-04-02,Alemania,Colonia,50.9375,6.9603,Hostal,10,75.84,5,Avión,Estudios
2023-09-21,Francia,Niza,43.7102,7.262,Hotel,1,100.58,5,Coche,Vacaciones
2023-02-04,España,Sevilla,37.3891,-5.9845,Apartamento,6,94.25,5,Coche,Vacaciones
2023-07-25,Francia,Niza,43.7102,7.262,Hotel,2,116.46,5,Tren,Negocios
2023-03-22,Francia,Lyon,45.764,4.8357,Hostal,3,62.28,3,Autobús,Vacaciones
2023-02-19,Reino Unido,Londres,51.5074,-0.1278,Apartamento,5,64.25,1,Avión,Vacaciones
2023-12-26,Alemania,Berlín,52.52,13.405,Apartamento,3,92.28,1,Tren,Vacaciones
2023-01-02,Reino Unido,Manchester,53.4808,-2.2426,Apartamento,6,73.59,3,Avión,Vacaciones
2023-02-23,Italia,Nápoles,40.8518,14.2681,Hotel,7,130.52,3,Coche,Vacaciones
2023-04-16,Francia,Lyon,45.764,4.8357,Hotel,10,69.15,4,Coche,Vacaciones
2023-09-17,Italia,Roma,41.9028,12.4964,Hotel,6,172.22,2,Autobús,Vacaciones
2023-11-06,Reino Unido,Edimburgo,55.9533,-3.1883,Apartamento,2,95.45,5,Coche,Vacaciones
2023-07-10,Alemania,Colonia,50.9375,6.9603,Hostal,9,103.95,2,Autobús,Vacaciones
2023-08-06,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,2,110.53,4,Coche,Vacaciones
2023-02-13,Alemania,Hamburgo,53.5511,9.9937,Hotel,6,97.81,1,Avión,Vacaciones
2023-06-11,Alemania,Colonia,50.9375,6.9603,Apartamento,9,135.39,5,Avión,Vacaciones
2023-07-21,España,Madrid,40.4168,-3.7038,Hostal,9,104.37,1,Tren,Vacaciones
2023-09-27,Francia,París,48.8566,2.3522,Hotel,2,84.36,3,Tren,Visita familiar
2023-12-17,Reino Unido,Edimburgo,55.9533,-3.1883,Hotel,9,59.05,2,Tren,Vacaciones
2023-10-31,Alemania,Colonia,50.9375,6.9603,Hotel,8,111.74,1,Tren,Vacaciones
2023-09-28,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,14,127.43,4,Tren,Negocios
2023-08-03,Reino Unido,Liverpool,53.4084,-2.9916,Hotel,7,61.98,1,Tren,Estudios
